# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	57682
#@/user_id	Office-PC
a 	啊	c=62 d=0.0314298 t=57682
wai jie 	外界	c=1 d=1 t=46866
wai mian 	外面	c=8 d=1.25651e-011 t=57682
wai wan 	外完	c=4 d=2.56174 t=40942
wai wang 	外網	c=58 d=0.600594 t=57682
wai zhi 	外置	c=2 d=6.63855e-034 t=57682
wan 	丸	c=1 d=1 t=35080
wan 	完	c=17 d=0.0735345 t=57682
wan 	晚	c=6 d=3.73566e-006 t=57682
wan 	玩	c=5 d=6.02665e-014 t=57682
wan can 	晚餐	c=1 d=1 t=35119
wan chen 	完晨	c=2 d=1 t=42629
wan cheng 	完成	c=42 d=2.83066e-006 t=57682
wan cheng hou 	完成後	c=1 d=9.92243e-027 t=57682
wan cheng le 	完成了	c=1 d=6.54549e-015 t=57682
wan dian 	晚點	c=3 d=0.000567086 t=57682
wan dian lai 	晚點來	c=1 d=4.98347e-072 t=57682
wan er 	玩兒	c=0 d=9.50005e-075 t=57682
wan er o 	玩兒噢	c=1 d=9.54767e-074 t=57682
wan fan 	晚飯	c=1 d=1 t=51036
wan jiu 	挽救	c=0 d=0.1 t=37682
wan jiu le 	挽救了	c=1 d=1 t=37683
wan ju 	婉拒	c=1 d=1 t=44901
wan le 	丸了	c=3 d=4.83412e-009 t=57682
wan le 	完了	c=4 d=5.41377e-017 t=57682
wan le 	玩了	c=1 d=1.52455e-020 t=57682
wan le guo 	丸了過	c=1 d=4.59827e-008 t=57682
wan li da 	萬利達	c=1 d=1 t=53607
wan luo 	玩攞	c=1 d=1.32922e-054 t=57682
wan mei 	完美	c=5 d=1.79278e-013 t=57682
wan qi 	晚起	c=1 d=1 t=53553
wan quan 	完全	c=15 d=7.86679e-012 t=57682
wan shan 	完善	c=8 d=0.856458 t=57682
wan shang 	晚上	c=16 d=0.0184201 t=57682
wan shou ji 	玩手機	c=2 d=1.87723e-027 t=57682
wan wan 	萬萬	c=1 d=9.47583e-044 t=57682
wan xia 	晚霞	c=1 d=1 t=56376
wan xiao 	玩笑	c=1 d=1 t=52751
wan xie 	晚些	c=1 d=1.44498e-007 t=57682
wan yi 	萬一	c=3 d=7.96997e-008 t=57682
wan yi dian 	晚一點	c=1 d=1 t=55644
wan yi xie 	晚一些	c=1 d=1 t=48376
wan zheng 	完整	c=5 d=9.17077e-012 t=57682
wan zhuan 	玩轉	c=1 d=3.59396e-050 t=57682
wang 	往	c=2 d=1 t=56377
wang 	忘	c=2 d=0.00909528 t=57682
wang 	王	c=7 d=2.61804e-006 t=57682
wang 	網	c=5 d=6.20099e-016 t=57682
wang ji 	忘記	c=2 d=0.0168231 t=57682
wang jun kai 	王俊凱	c=4 d=1.8963 t=56521
wang le 	忘了	c=14 d=0.0178055 t=57682
wang lian 	網戀	c=1 d=1.90327e-042 t=57682
wang lu 	網路	c=1 d=1 t=41921
wang luo 	網絡	c=22 d=9.56342e-005 t=57682
wang ning 	王寧	c=1 d=1 t=51040
wang qing 	王青	c=1 d=6.65665e-066 t=57682
wang shang 	網上	c=2 d=9.28217e-007 t=57682
wang tu 	妄圖	c=1 d=5.04434e-009 t=57682
wang ye 	網頁	c=1 d=1 t=46237
wang zhan 	網站	c=2 d=1.03695e-066 t=57682
wang zhi 	網址	c=3 d=1.45623e-061 t=57682
wei 	位	c=7 d=1.62136e-009 t=57682
wei 	僞	c=1 d=1.71181e-030 t=57682
wei 	喂	c=1 d=1.56257e-045 t=57682
wei 	微	c=0 d=0.0213312 t=57682
wei 	未	c=11 d=0.147814 t=57682
wei 	爲	c=52 d=0.000903052 t=57682
wei 	韋	c=2 d=1.27685e-062 t=57682
wei bo 	微博	c=7 d=0.386818 t=57682
wei bo shang 	微博上	c=1 d=0.00535353 t=57682
wei dao 	味道	c=2 d=2.0869e-008 t=57682
wei deng lu 	未登錄	c=1 d=4.99297e-065 t=57682
wei er 	威爾	c=1 d=1 t=53651
wei gang 	維港	c=1 d=1 t=35067
wei hai 	危害	c=2 d=7.03591e-041 t=57682
wei hao 	尾號	c=1 d=1 t=54716
wei he 	爲何	c=21 d=0.563946 t=57682
wei he 	維和	c=0 d=2.97266e-024 t=57682
wei he gan 	維和感	c=1 d=3.29236e-023 t=57682
wei hu 	維護	c=14 d=0.0571656 t=57682
wei jia mi 	僞加密	c=1 d=3.42509e-072 t=57682
wei jiang 	未降	c=2 d=1.1459e-014 t=57682
wei le 	爲了	c=30 d=0.588605 t=57682
wei le zhe ci 	爲了這次	c=1 d=1 t=40418
wei li 	微粒	c=0 d=1.53951e-077 t=57682
wei li dai 	微粒貸	c=9 d=8.23062e-063 t=57682
wei min 	韋民	c=4 d=9.85615e-007 t=57682
wei nan 	爲難	c=0 d=0.1 t=50189
wei qu shi 	微趨勢	c=5 d=0.49662 t=57682
wei ruan 	微軟	c=1 d=2.87139e-027 t=57682
wei sha 	爲啥	c=10 d=4.76693e-020 t=57682
wei she 	威懾	c=1 d=1.31238e-051 t=57682
wei shen 	位深	c=1 d=1 t=52786
wei shen er ma 	爲甚而嗎	c=1 d=1 t=43702
wei shen me 	爲什麼	c=41 d=7.12631e-005 t=57682
wei shu 	尾數	c=1 d=1 t=49978
wei xin 	微信	c=52 d=1.6253e-008 t=57682
wei yi 	位移	c=1 d=5.88567e-059 t=57682
wei yi 	唯一	c=4 d=9.33982e-021 t=57682
wei zao 	僞造	c=1 d=5.79922e-032 t=57682
wei zhi 	位置	c=29 d=2.07068 t=57682
wei zhi 	未知	c=3 d=2.68605e-065 t=57682
wei zhi 	爲知	c=7 d=6.15957e-044 t=57682
wei zhu 	爲主	c=1 d=1.17611e-026 t=57682
wei zhuang 	僞裝	c=3 d=9.12814e-016 t=57682
wei zhuang cheng 	爲裝成	c=1 d=4.14276e-016 t=57682
wei zhun 	爲準	c=1 d=6.08061e-060 t=57682
wen 	問	c=31 d=0.00421458 t=57682
wen 	文	c=2 d=6.43009e-041 t=57682
wen 	蚊	c=2 d=1.57984 t=50948
wen an 	文案	c=32 d=0.0139123 t=57682
wen ben 	文本	c=2 d=3.14994e-028 t=57682
wen dang 	文檔	c=14 d=2.52316e-006 t=57682
wen dang he 	文檔和	c=1 d=3.85455e-050 t=57682
wen dang li 	文檔裏	c=1 d=8.87165e-063 t=57682
wen dei 	問得	c=1 d=1 t=41299
wen ding 	穩定	c=4 d=3.83676e-025 t=57682
wen ding ban 	穩定版	c=1 d=3.43045e-061 t=57682
wen e 	問餓	c=1 d=1 t=45501
wen ge 	文革	c=1 d=1 t=38630
wen ge wen ti 	問個問題	c=1 d=1.27576e-071 t=57682
wen guo 	問過	c=1 d=2.22881e-076 t=57682
wen jia 	問加	c=1 d=1 t=54701
wen jian 	文件	c=300 d=1.32202 t=57682
wen jian cun chu 	文件存儲	c=1 d=2.89129e-020 t=57682
wen jian jia 	文件夾	c=18 d=0.00406639 t=57682
wen jian li 	文件裏	c=2 d=6.24887e-047 t=57682
wen jian ming 	文件名	c=4 d=0.0013609 t=57682
wen jian tou 	文件頭	c=5 d=2.42422e-006 t=57682
wen jian xi tong 	文件系統	c=2 d=1.81396e-006 t=57682
wen jin du 	文錦渡	c=1 d=1 t=35036
wen le 	問了	c=3 d=1.59007e-015 t=57682
wen ni 	問你	c=2 d=8.06461e-072 t=57682
wen qi 	玟岐	c=1 d=1.2482e-020 t=57682
wen ta 	問他	c=2 d=7.50687e-039 t=57682
wen ti 	問題	c=383 d=2.37469 t=57682
wen ti yi 	問題一	c=1 d=1 t=37529
wen wen 	問問	c=13 d=0.00687406 t=57682
wen wo 	問我	c=0 d=2.81924e-077 t=57682
wen wo ma 	問我嗎	c=1 d=2.83337e-076 t=57682
wen xia 	問下	c=5 d=1.01353e-011 t=57682
wen xia 	文下	c=1 d=5.24986e-067 t=57682
wen yi ge 	問一個	c=1 d=3.18268e-032 t=57682
wen yi xia 	問一下	c=1 d=2.68046e-041 t=57682
wen zhang 	文章	c=30 d=0.923116 t=57682
wen zi 	文字	c=17 d=1.03446e-007 t=57682
wen zi 	蚊子	c=3 d=5.99455e-010 t=57682
wen zi ban 	文字版	c=1 d=9.7154e-073 t=57682
weng 	甕	c=1 d=1 t=52961
wo 	喔	c=6 d=3.47563e-064 t=57682
wo 	我	c=1089 d=4.63948 t=57682
wo bu duan 	我不斷	c=1 d=6.41219e-067 t=57682
wo cao 	我曹	c=1 d=1.47915e-076 t=57682
wo cao 	臥槽	c=7 d=0.0192547 t=57682
wo chong xin 	我重新	c=1 d=1.78994e-055 t=57682
wo chu li 	我處理	c=1 d=6.89985e-047 t=57682
wo cuo 	我錯	c=4 d=6.36632e-010 t=57682
wo cuo le 	我錯了	c=8 d=0.00559994 t=57682
wo dang nian 	我當年	c=1 d=1.51695e-020 t=57682
wo de 	我的	c=5 d=3.97274e-024 t=57682
wo de e 	我的額	c=1 d=1 t=47367
wo di 	我地	c=3 d=2.71621e-014 t=57682
wo di di 	我睇睇	c=2 d=1.25082e-072 t=57682
wo di zu 	我地組	c=1 d=1 t=45867
wo dong le 	我懂了	c=1 d=3.80894e-057 t=57682
wo du 	我賭	c=1 d=2.32189e-028 t=57682
wo en ni tu 	我嗯泥土	c=1 d=1 t=37861
wo gan jue 	我感覺	c=1 d=8.06215e-055 t=57682
wo gei ni 	我給你	c=2 d=1 t=45730
wo geng xin 	我更新	c=1 d=3.5106e-068 t=57682
wo ha 	我哈	c=1 d=0.00134011 t=57682
wo hai zai 	我還在	c=1 d=1 t=36405
wo he 	我和	c=6 d=0.00031751 t=57682
wo hu cang long 	臥虎藏龍	c=1 d=2.40419e-026 t=57682
wo hui 	我會	c=1 d=3.10136e-051 t=57682
wo ji 	沃瘠	c=1 d=1 t=50943
wo ji de 	我記得	c=3 d=1.59337e-010 t=57682
wo jia 	我家	c=1 d=1.9885e-028 t=57682
wo jian 	我見	c=1 d=1 t=47229
wo jian yi 	我建議	c=2 d=3.21302e-026 t=57682
wo jin tian 	我今天	c=1 d=2.92473e-067 t=57682
wo jiu 	我就	c=2 d=8.24797e-029 t=57682
wo jiu hui 	我就會	c=1 d=1.64609e-040 t=57682
wo jue 	我覺	c=1 d=1 t=49919
wo jue de 	我覺得	c=11 d=1.29803e-010 t=57682
wo jue ding 	我決定	c=1 d=1 t=46070
wo kan 	我看	c=1 d=3.67918e-061 t=57682
wo kan kan 	我看看	c=1 d=1.04578e-056 t=57682
wo lai 	我來	c=2 d=6.02255e-006 t=57682
wo lai gai ma 	我來改嗎	c=1 d=4.40417e-030 t=57682
wo lai jia 	我來加	c=1 d=1 t=53857
wo le 	我了	c=1 d=3.58163e-039 t=57682
wo li jie 	我理解	c=1 d=2.94668e-008 t=57682
wo mei xiang dao 	我沒想到	c=1 d=1.6185e-047 t=57682
wo men 	我們	c=302 d=0.61759 t=57682
wo men bu qu fen 	我們不區分	c=1 d=2.78739e-060 t=57682
wo men de 	我們的	c=1 d=5.97462e-059 t=57682
wo men zu 	我們組	c=1 d=2.27778e-067 t=57682
wo ne ti 	我呢提	c=1 d=1 t=44766
wo neng 	我能	c=1 d=3.03097e-075 t=57682
wo pa 	我怕	c=1 d=4.46541e-016 t=57682
wo qu 	我去	c=2 d=0.00050296 t=57682
wo que ren xia 	我確認下	c=1 d=5.98499e-050 t=57682
wo shi shi 	我試試	c=1 d=2.58334e-048 t=57682
wo shuo 	我說	c=0 d=0.1 t=57092
wo si 	我司	c=1 d=1.56576e-069 t=57682
wo ta ma 	我他媽	c=1 d=1.37587e-048 t=57682
wo ti jiao 	我提交	c=1 d=1 t=36914
wo xi huan 	我喜歡	c=8 d=7.28276e-006 t=57682
wo xian zai 	我現在	c=1 d=0.020141 t=57682
wo xiang wen 	我想問	c=1 d=5.77699e-075 t=57682
wo xiang xiang 	我想想	c=1 d=3.39574e-059 t=57682
wo xie 	我寫	c=1 d=1 t=35477
wo yao 	我要	c=4 d=4.4554e-019 t=57682
wo ye 	我也	c=5 d=6.64781e-021 t=57682
wo ye shi 	我也是	c=1 d=1 t=38298
wo ye yao 	我也要	c=2 d=2.22161e-038 t=57682
wo yi 	我已	c=1 d=1.63649e-030 t=57682
wo yi dian 	我一點	c=1 d=0.386741 t=57682
wo yi jing 	我已經	c=3 d=3.40464e-031 t=57682
wo yong 	我用	c=1 d=1.13682e-038 t=57682
wo you 	我有	c=2 d=2.15896e-025 t=57682
wo yun 	我暈	c=1 d=7.93511e-074 t=57682
wo zai 	我在	c=1 d=3.9027e-049 t=57682
wo zen me 	我怎麼	c=1 d=2.95111e-055 t=57682
wo zhe bian 	我這邊	c=8 d=1.79682e-012 t=57682
wo zhe li 	我這裏	c=1 d=1.40825e-057 t=57682
wo zhi dao 	我知道	c=3 d=4.37387e-037 t=57682
wo zi ji 	我自己	c=1 d=1.44641e-048 t=57682
wu 	⑤	c=4 d=7.1168e-025 t=57682
wu 	五	c=3 d=4.34349e-014 t=57682
wu 	污	c=1 d=1 t=52987
wu 	無	c=9 d=0.00177725 t=57682
wu 	誤	c=3 d=1.00732 t=44209
wu an 	午安	c=1 d=5.99946e-049 t=57682
wu ban quan 	無版權	c=1 d=3.43289e-040 t=57682
wu bao 	誤報	c=1 d=1.04888e-032 t=57682
wu biao ti 	無標題	c=1 d=2.0293e-061 t=57682
wu can 	午餐	c=1 d=1 t=35097
wu dao 	誤導	c=1 d=1 t=41738
wu fa 	無法	c=33 d=0.433874 t=57682
wu fan 	午飯	c=1 d=3.27615e-049 t=57682
wu fan ying 	無反應	c=18 d=0.000930303 t=57682
wu guan 	無關	c=4 d=0.273898 t=57682
wu jiao 	午覺	c=1 d=3.37707e-053 t=57682
wu jie 	無解	c=1 d=3.11107e-029 t=57682
wu ke 	無刻	c=1 d=1.92836e-049 t=57682
wu li 	物理	c=1 d=1.17604e-062 t=57682
wu li di zhi 	物理地址	c=1 d=1.14485e-062 t=57682
wu lu 	無路	c=3 d=1 t=53721
wu lun 	無論	c=14 d=2.52981e-009 t=57682
wu lun shi 	無論是	c=2 d=1.00002 t=39602
wu mao qian 	五毛錢	c=3 d=2.33353e-028 t=57682
wu pin 	物品	c=1 d=4.99552e-071 t=57682
wu qi 	屋企	c=2 d=1 t=51559
wu qi 	武器	c=1 d=1 t=46073
wu ren wei 	誤認爲	c=1 d=1 t=57138
wu sao miao 	誤掃描	c=1 d=1 t=43157
wu sha 	誤殺	c=3 d=2.50783e-051 t=57682
wu sheng yin 	無聲音	c=1 d=9.28187e-036 t=57682
wu shi 	無視	c=1 d=1.43124e-071 t=57682
wu shu 	無數	c=1 d=3.34917e-073 t=57682
wu shuang 	無雙	c=1 d=2.15368e-055 t=57682
wu shui 	午睡	c=0 d=4.13558e-026 t=57682
wu shui le 	午睡了	c=1 d=4.15631e-025 t=57682
wu suo wei 	無所謂	c=2 d=2.41024e-012 t=57682
wu wang luo 	無網絡	c=2 d=1.2949e-011 t=57682
wu wei 	無畏	c=2 d=1.13216e-017 t=57682
wu wei 	無謂	c=1 d=1.01913e-017 t=57682
wu xian 	無線	c=1 d=9.74915e-055 t=57682
wu xian 	無限	c=1 d=9.79802e-055 t=57682
wu xian lu you 	無線路由	c=1 d=7.39613e-070 t=57682
wu xiao 	無效	c=2 d=0.0478349 t=57682
wu xiu 	午休	c=0 d=3.34233e-050 t=57682
wu xiu hou 	午休後	c=1 d=3.35909e-049 t=57682
wu xu 	無需	c=1 d=2.75646e-017 t=57682
wu yi yi 	無意義	c=3 d=0.160414 t=57682
wu yong 	無用	c=5 d=1.92159e-037 t=57682
wu yue tian 	五月天	c=1 d=1 t=42358
wu zhang ai 	無障礙	c=2 d=1.00638 t=57667
wu zhang hao 	無帳號	c=1 d=1 t=37757
xi 	喜	c=0 d=6.67842e-076 t=57682
xi 	息	c=2 d=3.00699e-073 t=57682
xi 	惜	c=1 d=1.71829e-045 t=57682
xi 	系	c=30 d=0.179129 t=57682
xi ai 	喜愛	c=0 d=7.80393e-026 t=57682
xi bu xi huan 	喜不喜歡	c=1 d=6.7119e-075 t=57682
xi fen 	細分	c=4 d=2.85319e-011 t=57682
xi gai 	膝蓋	c=1 d=8.45218e-052 t=57682
xi gan jing 	洗乾淨	c=1 d=5.70183e-068 t=57682
xi guai 	系乖	c=1 d=1 t=44844
xi guan 	習慣	c=1 d=1.60966e-012 t=57682
xi guan le 	習慣了	c=1 d=1.56554e-038 t=57682
xi hua 	系話	c=2 d=2.11808e-006 t=57682
xi huan 	喜歡	c=26 d=1.1624 t=57682
xi ji 	襲擊	c=1 d=1 t=53132
xi jie 	細節	c=8 d=4.44087e-010 t=57682
xi liao 	細聊	c=1 d=1 t=41285
xi lie 	系列	c=3 d=1.15005e-038 t=57682
xi mi 	系米	c=3 d=2.54238e-069 t=57682
xi mi 	細密	c=1 d=6.39781e-070 t=57682
xi qia ang 	系卡昂	c=1 d=1.29733e-033 t=57682
xi qu 	吸取	c=0 d=2.93439e-048 t=57682
xi qu ao 	吸取奧	c=1 d=2.9491e-047 t=57682
xi shang 	席上	c=0 d=2.04336e-055 t=57682
xi shu 	係數	c=1 d=2.69894e-063 t=57682
xi shuo 	細說	c=2 d=2.23784e-006 t=57682
xi tong 	系統	c=97 d=0.17156 t=57682
xi wang 	希望	c=5 d=1.01315e-036 t=57682
xi xin 	細心	c=3 d=3.89228e-010 t=57682
xi xue gui 	吸血鬼	c=1 d=3.86202e-014 t=57682
xi yi pi 	系一批	c=1 d=1 t=43971
xi zao 	洗澡	c=1 d=1.65035e-041 t=57682
xi zhi 	細緻	c=1 d=1 t=49334
xia 	下	c=301 d=1.32593 t=57682
xia 	嚇	c=2 d=9.33188e-011 t=57682
xia 	瞎	c=1 d=3.59041e-009 t=57682
xia ba 	下巴	c=1 d=4.52336e-050 t=57682
xia ban 	下班	c=7 d=5.67152e-015 t=57682
xia ban qian 	下班前	c=1 d=5.25288e-015 t=57682
xia ci 	下次	c=9 d=1.55617e-025 t=57682
xia dan 	下單	c=1 d=3.21839e-075 t=57682
xia dao 	嚇到	c=1 d=1 t=41451
xia fa 	下發	c=104 d=0.000778531 t=57682
xia ge 	下個	c=7 d=8.85247e-007 t=57682
xia ge qu 	下歌曲	c=1 d=1.90068e-026 t=57682
xia guo 	下過	c=2 d=1.57695 t=36588
xia hao 	下好	c=1 d=2.36148e-021 t=57682
xia he 	下頜	c=1 d=2.81062e-040 t=57682
xia huai 	嚇壞	c=1 d=0.000769323 t=57682
xia jiang 	下降	c=1 d=0.218712 t=57682
xia la 	下拉	c=11 d=6.2694e-008 t=57682
xia lai 	下來	c=10 d=0.99005 t=57682
xia lou 	下樓	c=1 d=1 t=37426
xia mi 	蝦米	c=2 d=3.76951e-074 t=57682
xia mian 	下面	c=7 d=0.241714 t=57682
xia niao 	嚇尿	c=1 d=1.58289e-050 t=57682
xia tu 	下圖	c=1 d=1 t=43040
xia wan 	下完	c=0 d=6.01173e-074 t=57682
xia wan le 	下完了	c=2 d=1.24895e-072 t=57682
xia wen 	下文	c=0 d=0.1 t=39777
xia wen zhong 	下文中	c=1 d=1 t=39778
xia wu 	下午	c=15 d=0.43063 t=57682
xia wu cha 	下午茶	c=1 d=3.38823e-033 t=57682
xia xia ge 	下下個	c=1 d=1 t=48810
xia yi 	下一	c=1 d=0.1 t=43971
xia yi ci 	下一次	c=1 d=0.121846 t=57682
xia yi ge 	下一個	c=1 d=1 t=46534
xia yi hang 	下一行	c=1 d=1 t=36441
xia yi miao 	下一秒	c=1 d=1 t=36401
xia yi pi 	下一匹	c=1 d=1 t=40404
xia yi pi 	下一批	c=10 d=2.01634 t=57134
xia yi shou 	下一首	c=4 d=0.0424516 t=57682
xia zai 	下載	c=123 d=0.926206 t=57682
xia zhou 	下晝	c=2 d=1.91851 t=45861
xia zhou 	下週	c=9 d=6.72346e-026 t=57682
xia zhou er 	下週②	c=2 d=1 t=52886
xia zhou si 	下週四	c=1 d=3.33846e-006 t=57682
xia zhou yi 	下週一	c=1 d=1 t=44472
xian 	先	c=150 d=0.97334 t=57682
xian 	線	c=11 d=6.83108e-008 t=57682
xian ba 	先把	c=2 d=6.32036e-015 t=57682
xian chang 	現場	c=5 d=0.101961 t=57682
xian cheng 	現成	c=5 d=1.76947e-008 t=57682
xian cheng 	線程	c=20 d=1.76065e-008 t=57682
xian cheng 	縣城	c=0 d=5.46132e-062 t=57682
xian cheng chi 	線程池	c=5 d=5.88159e-033 t=57682
xian cheng guan li 	線程管理	c=1 d=1 t=35316
xian cheng li 	縣城裏	c=1 d=5.4887e-061 t=57682
xian da fu 	先答覆	c=1 d=1 t=41505
xian dao 	先到	c=2 d=1.50421e-009 t=57682
xian ding 	限定	c=1 d=1 t=35962
xian du qu 	先讀取	c=1 d=1 t=47735
xian gei 	獻給	c=1 d=1 t=43630
xian hui qu 	先回去	c=1 d=0.0236356 t=57682
xian jiang 	先將	c=1 d=1 t=46498
xian jin 	現今	c=1 d=6.13024e-038 t=57682
xian jin 	現金	c=1 d=6.16097e-038 t=57682
xian lai 	先來	c=1 d=3.874e-021 t=57682
xian lu 	線路	c=2 d=1.98511 t=35219
xian mang 	先忙	c=1 d=1 t=39050
xian mian 	限免	c=2 d=1.99005 t=50460
xian mian 	鮮麪	c=1 d=1 t=50459
xian ping 	先評	c=1 d=2.54323e-011 t=57682
xian qian 	先前	c=1 d=5.88467e-057 t=57682
xian qu 	先去	c=4 d=0.017953 t=57682
xian qu diao 	先去掉	c=1 d=8.83041e-067 t=57682
xian shang 	先上	c=1 d=1 t=40231
xian shang 	線上	c=2 d=1.26901e-038 t=57682
xian shi 	顯示	c=32 d=0.00158285 t=57682
xian su 	限速	c=1 d=1 t=45927
xian suo 	線索	c=6 d=7.27839e-030 t=57682
xian tiao 	線條	c=8 d=1 t=40742
xian xiang 	現象	c=1 d=0.158817 t=57682
xian yi 	嫌疑	c=1 d=3.52962e-014 t=57682
xian yi fan 	嫌疑犯	c=1 d=1.35774e-039 t=57682
xian zai 	現在	c=102 d=0.867078 t=57682
xian zhi 	先知	c=3 d=1.64674e-074 t=57682
xian zhi 	限制	c=9 d=2.10925 t=56832
xian zou 	先走	c=2 d=6.08158e-049 t=57682
xiang 	像	c=14 d=0.00451217 t=57682
xiang 	向	c=13 d=0.0997588 t=57682
xiang 	想	c=59 d=0.00117452 t=57682
xiang 	相	c=2 d=2.18055e-048 t=57682
xiang 	項	c=6 d=0.571209 t=57682
xiang ban fa 	想辦法	c=1 d=5.27186e-028 t=57682
xiang bi 	相比	c=7 d=9.58018e-018 t=57682
xiang da dao 	想達到	c=1 d=3.61505e-060 t=57682
xiang dan 	想但	c=1 d=1 t=45313
xiang dang yu 	相當於	c=6 d=0.000649051 t=57682
xiang dao 	想到	c=1 d=1 t=36418
xiang deng 	相等	c=1 d=1 t=56131
xiang dui 	相對	c=1 d=1 t=52716
xiang duo 	想多	c=1 d=1 t=35480
xiang en 	想嗯	c=1 d=1 t=55705
xiang fa 	想法	c=1 d=5.49185e-010 t=57682
xiang fa she fa 	想法設法	c=1 d=5.51938e-009 t=57682
xiang gang 	香港	c=7 d=3.62238e-045 t=57682
xiang guan 	相關	c=36 d=0.427415 t=57682
xiang hao 	想好	c=1 d=2.60753e-040 t=57682
xiang hu 	相互	c=1 d=5.35426e-034 t=57682
xiang huan 	相喚	c=1 d=5.32756e-034 t=57682
xiang hui qu 	想回去	c=1 d=1 t=47198
xiang jian 	想見	c=1 d=1.50549e-019 t=57682
xiang jian 	詳見	c=1 d=1.33013e-062 t=57682
xiang le 	想了	c=0 d=2.29363e-032 t=57682
xiang le 	響了	c=2 d=2.29363e-031 t=57682
xiang le xia 	想了下	c=1 d=1.15616e-060 t=57682
xiang le xie 	想了些	c=1 d=2.30513e-031 t=57682
xiang mu 	項目	c=18 d=1.60108e-008 t=57682
xiang mu li 	項目裏	c=3 d=1.45594e-037 t=57682
xiang qi 	想起	c=4 d=6.92876e-008 t=57682
xiang qi lai 	想起來	c=5 d=9.9116e-011 t=57682
xiang qing 	詳情	c=1 d=9.05887e-045 t=57682
xiang qing chu 	想清楚	c=1 d=7.23465e-075 t=57682
xiang qing ye 	詳情頁	c=3 d=1.30231e-019 t=57682
xiang shi 	像是	c=2 d=1 t=52750
xiang tong 	相同	c=5 d=1.31743e-008 t=57682
xiang tong zhuang tai 	相同狀態	c=1 d=3.97964e-014 t=57682
xiang wen 	想問	c=2 d=2.48686e-012 t=57682
xiang wen xia 	向問下	c=1 d=5.65778e-065 t=57682
xiang wen xia 	想問下	c=1 d=5.68614e-065 t=57682
xiang wo men 	想我們	c=1 d=1.99393e-060 t=57682
xiang xi 	詳細	c=4 d=0.927743 t=57682
xiang xia 	向下	c=2 d=1.45168e-032 t=57682
xiang xia ren 	鄉下人	c=1 d=8.93492e-029 t=57682
xiang xiang 	想想	c=5 d=1.75015e-019 t=57682
xiang xiang 	想象	c=2 d=2.48181e-017 t=57682
xiang xin 	相信	c=2 d=1.32774e-010 t=57682
xiang xin zi ji 	相信自己	c=1 d=1 t=53137
xiang yao 	想要	c=4 d=0.315058 t=57682
xiang yi xiang 	想一想	c=1 d=1 t=56699
xiang ying 	響應	c=2 d=0.0510474 t=57682
xiang yong 	想用	c=1 d=2.65893e-005 t=57682
xiang zhe 	想着	c=2 d=1.00047 t=45946
xiang zuo 	想做	c=1 d=1 t=36623
xiao 	孝	c=2 d=1.49411 t=47098
xiao 	小	c=43 d=0.119623 t=57682
xiao 	笑	c=1 d=6.05686e-014 t=57682
xiao ban ben 	小版本	c=3 d=2.84242e-032 t=57682
xiao ban ben ne 	小版本呢	c=1 d=8.18983e-034 t=57682
xiao chu 	笑出	c=0 d=3.60633e-062 t=57682
xiao chu xie 	笑出血	c=1 d=3.62441e-061 t=57682
xiao di qiu 	小地球	c=2 d=4.1911e-056 t=57682
xiao dian 	小店	c=1 d=4.76758e-051 t=57682
xiao dui 	小隊	c=2 d=1.97531 t=53650
xiao er ke 	小兒科	c=1 d=1.0875e-075 t=57682
xiao gai lv 	小概率	c=1 d=1.35331e-030 t=57682
xiao guang 	曉光	c=2 d=1.89583 t=43557
xiao guo 	效果	c=17 d=0.000500451 t=57682
xiao hao 	消耗	c=4 d=2.14564e-011 t=57682
xiao hao da 	小好大	c=1 d=8.84452e-027 t=57682
xiao hao da 	消耗大	c=1 d=8.88885e-027 t=57682
xiao hen duo 	小很多	c=1 d=2.17459e-051 t=57682
xiao hui 	銷毀	c=1 d=3.23122e-063 t=57682
xiao jing teng 	蕭敬騰	c=1 d=2.79128e-047 t=57682
xiao lang hao 	小狼毫	c=2 d=7.38772e-076 t=57682
xiao le 	笑了	c=2 d=3.21629e-030 t=57682
xiao lv 	效率	c=7 d=6.15336e-022 t=57682
xiao ma ge 	小馬哥	c=1 d=1 t=53369
xiao mei 	小美	c=1 d=5.27258e-059 t=57682
xiao mi 	小米	c=28 d=3.50057e-005 t=57682
xiao ming 	小明	c=4 d=1.00156 t=50962
xiao qun 	小羣	c=9 d=1.48818e-030 t=57682
xiao shi 	小時	c=3 d=0.66365 t=57682
xiao shi 	消失	c=1 d=1 t=52441
xiao shi qing 	小事情	c=1 d=1 t=54976
xiao si 	笑死	c=1 d=3.56377e-039 t=57682
xiao tu 	小兔	c=1 d=1 t=36873
xiao tu biao 	小圖標	c=1 d=7.21597e-074 t=57682
xiao wen ti 	小問題	c=1 d=1 t=50746
xiao xi 	消息	c=5 d=1.64162e-008 t=57682
xiao xiao 	小小	c=1 d=1 t=52568
xiao xin 	小心	c=5 d=6.5727e-005 t=57682
xiao xu qiu 	小需求	c=1 d=2.80327e-068 t=57682
xiao xue 	小學	c=1 d=1.52736e-071 t=57682
xiao yu 	小於	c=1 d=6.11461e-008 t=57682
xiao zhang 	囂張	c=2 d=1 t=56717
xiao zhao 	小趙	c=1 d=1 t=36714
